id,gender,relationship_status,education,location,sports,favorite_teams,friends_count,posts_count,likes_count,music_count,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1994591541978845,male,married,PhD,"Georgeland, Kiribati","['Soccer', 'Basketball']",['New York Knicks'],4373,361,470,16,0.9047037630104083,0.8722000000000001,0.6624324864972995,0.508,0.8367849479583668
9767153480143628,male,married,Bachelor's,"Lindseystad, Nicaragua",['Hockey'],"['FC Barcelona', 'New York Knicks']",2799,500,3838,118,0.5384107285828663,0.9,0.5679735947189438,0.5589999999999999,0.6463570856685348
588146018050155,male,single,PhD,"North Jeremy, Niger","['Basketball', 'Soccer']",['Real Madrid'],4966,147,2983,76,0.9298538831064852,0.6294,0.6980196039207842,0.538,0.8217844675740593
3243956733632728,female,married,Master's,"North Beth, Timor-Leste","['Hockey', 'Basketball', 'Soccer']",['FC Barcelona'],3612,369,4579,173,0.7458266613290632,0.8738,0.6167633526705341,0.7865,0.669093354683747
6604255452387197,female,divorced,PhD,"Lake Davidshire, Isle of Man","['Hockey', 'Baseball', 'Basketball']","['Los Angeles Lakers', 'Real Madrid']",4256,135,7525,128,0.9753102481985589,0.42700000000000005,0.6554110822164433,0.764,0.6447590072057645
288324279028828,male,married,Bachelor's,"East Shelby, Martinique","['Soccer', 'Football', 'Baseball']","['Los Angeles Lakers', 'Real Madrid']",515,36,7069,40,0.5707465972778223,0.8072,0.43090618123624724,0.52,0.702613610888711
73233597315826,female,married,Associate's,"Lake Theresaborough, Cameroon","['Tennis', 'Soccer', 'Football']","['Manchester United', 'FC Barcelona']",4141,281,6102,100,0.46106885508406725,0.8562000000000001,0.648509701940388,0.75,0.6433245796637309
7261962929738226,male,married,Bachelor's,"East Adrianshire, Slovakia (Slovak Republic)","['Soccer', 'Baseball', 'Football']","['Los Angeles Lakers', 'New York Knicks']",1504,72,3646,163,0.5364891913530825,0.8144,0.4902580516103221,0.5815,0.82524323458767
3230224114371054,female,married,PhD,"South Larry, Antigua and Barbuda","['Baseball', 'Football', 'Tennis']","['Real Madrid', 'Manchester United']",1925,342,2333,173,0.9233486789431545,0.8684000000000001,0.5155231046209242,0.7865,0.7698052842273819
7224908621319655,female,married,Bachelor's,"North Andrea, Western Sahara","['Baseball', 'Soccer', 'Basketball']",['Real Madrid'],3147,170,7680,1,0.576861489191353,0.8340000000000001,0.5888577715543108,0.7004999999999999,0.6245540432345875
6672880068899730,male,widowed,PhD,"East Williamton, Burkina Faso","['Soccer', 'Football']","['Manchester United', 'Real Madrid']",4556,18,9192,8,0.9919935948759008,0.5036,0.6734146829365872,0.504,0.6248256204963971
9421470073401142,male,divorced,High School,"South Sabrina, Vanuatu","['Baseball', 'Hockey']","['Manchester United', 'Real Madrid']",3292,353,6458,143,0.36463170536429146,0.4706,0.5975595119023804,0.5715,0.6002731785428342
8430950034312441,male,divorced,PhD,"West Cameronton, Saint Pierre and Miquelon",['Soccer'],"['Real Madrid', 'New York Knicks']",1515,307,3129,147,0.9313150520416333,0.46140000000000003,0.49091818363672735,0.5735,0.7519397918334667
9188412291996241,female,single,Bachelor's,"Port Cherylhaven, Dominica","['Soccer', 'Hockey', 'Football']",['New York Knicks'],3090,405,8478,47,0.5848478783026421,0.681,0.5854370874174835,0.7234999999999999,0.4986084867894315
2936644503117307,male,single,Bachelor's,"Thompsonville, Reunion","['Hockey', 'Soccer', 'Tennis']","['FC Barcelona', 'Real Madrid']",4355,387,3497,118,0.534997998398719,0.6774,0.6613522704540908,0.5589999999999999,0.705208006405124
6603189147420488,female,married,High School,"Port Davidmouth, Senegal","['Baseball', 'Tennis', 'Soccer']",['Los Angeles Lakers'],4411,426,1056,171,0.31056845476381106,0.8852,0.6647129425885177,0.7855,0.7873261809447558
8260146321847282,male,divorced,Associate's,"North Michaelbury, Belarus","['Tennis', 'Hockey']",['Real Madrid'],1540,374,9077,17,0.4908426741393115,0.4748,0.49241848369673935,0.5085,0.48702930344275414
5633779661536448,female,single,PhD,"Stevenhaven, Greece","['Baseball', 'Hockey', 'Soccer']","['Real Madrid', 'FC Barcelona']",2885,209,9559,195,0.9956665332265813,0.6417999999999999,0.5731346269253851,0.7975,0.533733867093675
8445013615912366,female,divorced,Associate's,"New Mary, Pakistan","['Tennis', 'Basketball', 'Football']",['Manchester United'],722,463,8781,56,0.48788030424339474,0.49260000000000004,0.44332866573314667,0.728,0.4632787830264211
8945805929821356,male,divorced,High School,"Lake Pamela, New Zealand","['Basketball', 'Baseball']","['New York Knicks', 'Los Angeles Lakers']",4187,260,9365,116,0.3937249799839872,0.452,0.6512702540508102,0.558,0.5211000800640512
9645730048380488,female,married,Associate's,"Schroederland, Syrian Arab Republic","['Soccer', 'Basketball']","['Manchester United', 'Los Angeles Lakers']",1918,241,823,23,0.40823658927141715,0.8482000000000001,0.5151030206041208,0.7114999999999999,0.8706536429143314
417369924362176,male,divorced,PhD,"East Henry, Tunisia","['Tennis', 'Football']",['Real Madrid'],2221,51,747,45,0.9074759807846278,0.4102,0.5332866573314663,0.5225,0.9496960768614893
1055092596121711,male,single,Master's,"Lake Allen, French Polynesia","['Soccer', 'Baseball', 'Tennis']","['FC Barcelona', 'Los Angeles Lakers']",626,197,9235,59,0.792423939151321,0.6394,0.43756751350270057,0.5295,0.5515042433947157
698881334793721,female,single,High School,"Waterschester, United States Minor Outlying Islands","['Baseball', 'Basketball', 'Football']","['Manchester United', 'New York Knicks']",920,311,3940,38,0.33943154523618896,0.6622,0.4552110422084417,0.719,0.7178738190552441
2613921969293969,male,widowed,High School,"East Lindsayshire, Cook Islands","['Tennis', 'Hockey']","['New York Knicks', 'Los Angeles Lakers']",2292,393,6613,140,0.36618294635708565,0.5786,0.5375475095019004,0.57,0.5780682145716574
5001062923760379,male,widowed,Master's,"North Stephanietown, Namibia",['Basketball'],"['New York Knicks', 'FC Barcelona']",2162,34,7684,23,0.7769015212169735,0.5068,0.529745949189838,0.5115,0.6787939151321056
3920919576676999,male,divorced,High School,"Port Zacharystad, Nauru","['Hockey', 'Tennis']",['Los Angeles Lakers'],2779,296,2443,100,0.32444955964771816,0.45920000000000005,0.5667733546709341,0.55,0.7838017614091273
8650029511090798,male,single,Associate's,"South Christophershire, Slovenia","['Tennis', 'Soccer', 'Football']",['New York Knicks'],3792,78,422,38,0.4042233787029624,0.6155999999999999,0.6275655131026205,0.519,0.9519064851881505
1826976916739235,male,divorced,Master's,"Walkerfurt, Saint Vincent and the Grenadines","['Tennis', 'Basketball', 'Hockey']",['New York Knicks'],2101,118,3161,108,0.7316353082465973,0.42360000000000003,0.5260852170434087,0.554,0.8262587670136109
3941636083616489,female,married,Master's,"South Robertview, Belarus","['Tennis', 'Soccer', 'Baseball']",['Manchester United'],3717,176,9042,93,0.790492393915132,0.8352,0.6230646129225845,0.7464999999999999,0.5676304243394715
5448495859683242,female,widowed,Bachelor's,"East Lucas, Netherlands Antilles","['Baseball', 'Tennis']","['FC Barcelona', 'New York Knicks']",2106,115,8460,128,0.5846677341873499,0.523,0.5263852770554112,0.764,0.6153290632506004
6810178877627117,male,divorced,Master's,"Mcbrideberg, Madagascar","['Tennis', 'Basketball']","['FC Barcelona', 'Real Madrid']",4356,468,1893,119,0.7189451561248998,0.49360000000000004,0.6614122824564913,0.5595,0.7370193755004003
9935950022469682,male,divorced,PhD,"South Douglas, United Kingdom","['Baseball', 'Basketball', 'Soccer']",['FC Barcelona'],2125,196,7642,96,0.9764811849479584,0.43920000000000003,0.5275255051010203,0.548,0.6156752602081665
3459507572763080,male,divorced,Associate's,"West Brandon, Kazakhstan",['Tennis'],"['Real Madrid', 'Manchester United']",4612,295,673,10,0.40673538831064854,0.459,0.6767753550710143,0.505,0.8550584467574059
5077328827231514,male,divorced,Master's,"Maryport, Brazil",['Tennis'],['New York Knicks'],3595,104,8477,83,0.784837870296237,0.4208,0.615743148629726,0.5415,0.619048518815052
7224741864047149,male,single,Bachelor's,"Alexisside, Singapore",['Football'],"['Manchester United', 'Los Angeles Lakers']",4822,358,5797,193,0.5580164131305044,0.6716,0.689377875575115,0.5965,0.6247343474779824
9919959342426170,male,divorced,Master's,"Byrdside, Georgia","['Tennis', 'Baseball', 'Football']","['Real Madrid', 'Manchester United']",216,322,9292,180,0.7929943955164132,0.46440000000000003,0.4129625925185037,0.59,0.4992224179343474
400632491821059,male,divorced,Associate's,"West Timothy, Swaziland",['Baseball'],['New York Knicks'],2931,245,5486,168,0.45490392313851086,0.449,0.5758951790358071,0.584,0.6823843074459568
